AnimeTitle,Japanese,Aired,Premiered,Synonyms,Duration,Status,MAL Score,Studios,Producers
Juliet,五等分の花嫁 (続編),"May 20, 2022",Summer 2022,"Demon Slayer, Kimetsu no Yaiba",2h 16m,Finished Airing,7.91,Bibury Animation Studios,DAX Production
Beyblade Burst Turbo,ジョジョの奇妙な冒険 ファントム ブラッド,"Mar 28, 2004",,Naruto Hurricane Chronicles,1h 45m,Finished Airing,?,David Production,komiyo
Di Gi Charat: Winter Garden,ONE PIECE,"Oct 20, 1999 to ?",Fall 1999,"Hell's Paradise: Jigokuraku, Paradition, Heavenhell",24m,Currently Airing,8.62,Toei Animation,Fuji TV
Kakushigoto,劇場版 鬼滅の刃 無限列車編,"Apr 9, 2023 to ?",Spring 2023,Iseleve,24m,Currently Airing,8.73,ufotable,ufotable
Date A Live II,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Apr 7, 2023 to ?",Spring 2023,My Star,24m,Currently Airing,7.43,Millepensee,Kadokawa
Magical Circle Guru Guru,ナルト- 疾風伝,"Feb 15, 2007 to Mar 23, 2017",Winter 2007,NARUTO,23m,Finished Airing,8.15,Studio Pierrot,TV Tokyo
Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,ヴィンランド・サガ SEASON2,"Jan 10, 2023 to ?",Winter 2023,,23m,Currently Airing,8.69,MAPPA,Twin Engine
Dragon Ball Z: Broly – The Legendary Super Saiyan,地獄楽,"Apr 1, 2023 to ?",Spring 2023,,22m,Currently Airing,8.45,MAPPA,Shueisha
Dragon Ball Z: Battle of Gods,ブラッククローバー,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,,23m,Finished Airing,7.29,Studio Pierrot,TV Tokyo
Great Pretender,ナルト,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,,23m,Finished Airing,7.89,Studio Pierrot,TV Tokyo
World War Blue,マッシュル-MASHLE-,"Apr 8, 2023 to ?",Spring 2023,,23m,Currently Airing,?,A-1 Pictures,Shueisha
Crimson,BLEACH - ブリーチ -,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,,24m,Finished Airing,7.8,Studio Pierrot,TV Tokyo
Di Gi Charat: Winter Garden,ONE PIECE,"Oct 20, 1999 to ?",Fall 1999,,24m,Currently Airing,8.62,Toei Animation,Fuji TV
Kakushigoto,劇場版 鬼滅の刃 無限列車編,"Apr 9, 2023 to ?",Spring 2023,,24m,Currently Airing,8.73,ufotable,ufotable
Magical Circle Guru Guru,ナルト- 疾風伝,"Feb 15, 2007 to Mar 23, 2017",Winter 2007,,23m,Finished Airing,8.15,Studio Pierrot,TV Tokyo
Dragon Ball Z: Broly – The Legendary Super Saiyan,地獄楽,"Apr 1, 2023 to ?",Spring 2023,,22m,Currently Airing,8.45,MAPPA,Shueisha
Date A Live II,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Apr 7, 2023 to ?",Spring 2023,,24m,Currently Airing,7.43,Millepensee,Kadokawa
World War Blue,マッシュル-MASHLE-,"Apr 8, 2023 to ?",Spring 2023,,23m,Currently Airing,?,A-1 Pictures,Shueisha
Dragon Ball Z: Battle of Gods,ブラッククローバー,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,,23m,Finished Airing,7.29,Studio Pierrot,TV Tokyo
"The ""Hentai"" Prince and the Stony Cat.",【推しの子】,"Mar 17, 2023 to ?",Spring 2023,,24m,Currently Airing,9.33,Doga Kobo,Kadokawa
Great Pretender,ナルト,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,,23m,Finished Airing,7.89,Studio Pierrot,TV Tokyo
Crimson,BLEACH - ブリーチ -,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,,24m,Finished Airing,7.8,Studio Pierrot,TV Tokyo
Di Gi Charat: Winter Garden,ONE PIECE,"Oct 20, 1999 to ?",Fall 1999,,24m,Currently Airing,8.62,Toei Animation,Fuji TV
Kakushigoto,劇場版 鬼滅の刃 無限列車編,"Apr 9, 2023 to ?",Spring 2023,,24m,Currently Airing,8.73,ufotable,ufotable
Magical Circle Guru Guru,ナルト- 疾風伝,"Feb 15, 2007 to Mar 23, 2017",Winter 2007,,23m,Finished Airing,8.15,Studio Pierrot,TV Tokyo
Dragon Ball Z: Broly – The Legendary Super Saiyan,地獄楽,"Apr 1, 2023 to ?",Spring 2023,,22m,Currently Airing,8.45,MAPPA,Shueisha
Date A Live II,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Apr 7, 2023 to ?",Spring 2023,,24m,Currently Airing,7.43,Millepensee,Kadokawa
World War Blue,マッシュル-MASHLE-,"Apr 8, 2023 to ?",Spring 2023,,23m,Currently Airing,?,A-1 Pictures,Shueisha
Dragon Ball Z: Battle of Gods,ブラッククローバー,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,,23m,Finished Airing,7.29,Studio Pierrot,TV Tokyo
"The ""Hentai"" Prince and the Stony Cat.",【推しの子】,"Mar 17, 2023 to ?",Spring 2023,,24m,Currently Airing,9.33,Doga Kobo,Kadokawa
Great Pretender,ナルト,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,,23m,Finished Airing,7.89,Studio Pierrot,TV Tokyo
Crimson,BLEACH - ブリーチ -,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,,24m,Finished Airing,7.8,Studio Pierrot,TV Tokyo
